Time,Outdoor,,,,,,,,Solar and UVI,,Rainfall,,,,,,,Wind,,,Pressure,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2022-01-11 01:00:00,10.7,9.5,12,10.7,10.4,98,92,99,170.4,1,7.2,11.4,96.8,1.3,96.5,178.8,-,0.9,7.2,256,1043,1040.5,1045.9,1017.6
2022-01-12 01:00:00,6,0.7,12.8,6,4.5,91,54,99,821.1,7,1.8,1.6,97.1,0,96.8,179.1,-,1,9.3,149,1047.3,1045.4,1048.7,1021.9
2022-01-13 01:00:00,3.3,-1,13.5,3.3,1.7,90,63,99,279.8,2,1.2,0.2,0.2,0,97,179.3,-,1.2,7.2,175,1045.7,1043.6,1047.7,1020.3
2022-01-14 01:00:00,4.8,-0.2,17,4.8,1.4,81,36,99,282.4,2,1.8,0.3,0.3,0,97.3,179.6,-,1.7,11.1,152,1044.1,1042.2,1045.7,1018.7
2022-01-15 01:00:00,3.6,-1.6,13.1,3.6,-0.1,80,38,99,283.7,2,0,0,0,0,0,179.6,-,1.7,11.1,165,1041,1039.3,1042.4,1015.6
2022-01-16 01:00:00,4,-0.7,13.8,4,1.1,83,48,98,276.7,2,1.2,0.2,0.2,0,0.2,179.8,-,1.1,9.3,176,1044.7,1040.4,1049.1,1019.3
2022-01-17 01:00:00,4.1,-1.4,13,4.1,1.9,87,53,99,376.9,3,0,0,0,0,0.2,179.8,-,1.5,13,134,1048.4,1046.2,1050.9,1023
2022-01-18 01:00:00,3.9,-1.4,13.4,3.9,2,89,60,99,284.6,2,1.8,0.3,0.3,0,0.5,180.1,-,1.3,9.3,135,1046.4,1045,1048.5,1021
2022-01-19 01:00:00,3.8,-0.8,12.2,3.8,2.6,93,66,99,254.2,2,1.2,0.2,0.2,0,0.7,180.3,-,0.9,11.1,134,1047.4,1046.2,1049,1022
2022-01-20 01:00:00,7.1,4.1,10.4,7.1,6.6,97,89,99,169.6,1,9,7.9,8.2,0.3,8.9,188.5,-,0.8,11.1,126,1046.1,1044.8,1047,1020.7
2022-01-21 01:00:00,5.3,3,8.8,5.3,3.1,86,61,99,323.9,3,3,2,9.9,0,10.6,190.2,-,1,9.3,140,1047.3,1045.7,1048.7,1021.9
2022-01-22 01:00:00,3.9,-1.2,10,3.9,1.1,83,63,99,298.4,2,0,0,9.9,0,0,190.2,-,1.5,16.6,130,1046.1,1043.5,1048.4,1020.7
2022-01-23 01:00:00,2.9,-2.1,12.2,2.9,0.8,88,58,99,302.8,2,0,0,0,0,0,190.2,-,1.3,7.2,166,1039.8,1037,1043.7,1014.4
2022-01-24 01:00:00,4.7,-0.5,13.9,4.7,2.5,88,58,99,306.2,3,1.8,0.3,0.3,0,0.3,190.5,-,1.4,9.3,162,1040.7,1038.2,1044.5,1015.3
2022-01-25 01:00:00,5.2,-0.5,15.9,5.2,3.3,90,50,99,311,3,1.8,0.3,0.3,0,0.6,190.8,-,1.5,13,168,1044.9,1043.4,1046.1,1019.5
2022-01-26 01:00:00,4.8,-0.2,14.8,4.8,3.5,92,62,99,308.8,3,1.2,0.2,0.2,0,0.8,191,-,1.2,11.1,156,1044.7,1042.8,1046,1019.3
2022-01-27 01:00:00,5.4,-1,13,5.4,3.6,89,69,99,390.9,3,1.8,0.3,0.3,0,1.1,191.3,-,1.1,13,134,1046.4,1044.3,1049.6,1021
2022-01-28 01:00:00,5.4,-0.2,11.5,5.4,3.4,88,65,99,459.4,4,0,0,0,0,1.1,191.3,-,1.3,13,142,1050.5,1048.9,1051.7,1025.1
2022-01-29 01:00:00,4.1,-1.9,14.1,4.1,2.5,90,63,99,340.9,3,1.2,0.2,0.2,0,0,191.5,-,1.1,13,163,1049.1,1047.3,1050.9,1023.7
2022-01-30 01:00:00,6,0.5,13.6,6,4.7,92,70,99,337,3,0,0,0,0,0,191.5,-,1.2,9.3,194,1045.3,1043.1,1048.5,1019.9
2022-01-31 01:00:00,7.6,6,10.1,7.4,7.1,97,84,99,524,5,12,11.4,12.2,1.6,13,1.6,-,2.2,20.1,314,1047.5,1044.3,1049.7,1022.1
2022-02-01 01:00:00,7.4,2.2,12.8,7.4,6.1,93,69,99,353.6,14,0,1.6,12.2,0,13,1.6,-,1.3,14.8,138,1049.3,1047.5,1051.1,1023.9
2022-02-02 01:00:00,7,0.7,20.3,7,5,89,60,99,942.6,9,1.2,0.2,0.2,0,13.2,1.8,-,1.4,9.3,169,1040.7,1034.2,1047.6,1015.3
2022-02-03 01:00:00,8.8,2.3,17,8.8,6.3,86,50,99,403.8,3,1.8,0.3,0.3,0,13.5,2.1,-,1.5,13,147,1035.9,1034.6,1036.7,1010.5
2022-02-04 01:00:00,8.2,4.2,11.9,8.2,7.5,96,80,99,179.6,1,7.8,8.4,8.4,0,21.9,10.5,-,1.1,14.8,149,1037.4,1034.7,1040.9,1012
2022-02-05 01:00:00,6.9,0.7,12.5,6.9,5.8,93,61,99,501.8,4,9.6,12.4,20.8,0,0,22.9,-,0.7,13,239,1044.1,1040.6,1046.3,1018.7
2022-02-06 01:00:00,4.8,-0.7,12.9,4.8,2.3,86,49,99,410.8,4,1.8,0.3,21.1,0,0.3,23.2,-,1.5,13,160,1045.7,1044.1,1047.7,1020.3
2022-02-07 01:00:00,8.3,3.1,13.2,8.3,6.6,90,75,99,344,3,0,0,0,0,0.3,23.2,-,1.5,9.3,87,1047.3,1045.7,1048.8,1021.9
2022-02-08 01:00:00,9.8,3.4,20.8,9.7,6.8,84,54,99,372.6,3,0,0,0,0,0.3,23.2,-,2.1,20.1,146,1042,1037.9,1046.9,1016.6
2022-02-09 01:00:00,9.6,2.8,20.7,9.6,5.4,78,39,96,371.3,3,0,0,0,0,0.3,23.2,-,1.9,11.1,155,1040.6,1039.1,1041.5,1015.2
2022-02-10 01:00:00,9.2,3.1,18.6,9.2,6.9,86,54,98,420.7,4,1.8,0.5,0.7,0.5,1,23.9,-,1.6,13,148,1040.4,1037.7,1042.5,1015
2022-02-11 01:00:00,9,2.5,14.5,9,7.5,91,63,99,510.1,4,7.8,9.2,9.4,0,9.7,32.6,-,2,20.1,138,1042.1,1039.5,1044.7,1016.7
2022-02-12 01:00:00,7.2,1.7,13.5,7.2,6,92,69,99,508.8,4,1.2,0.2,9.4,0,0,32.8,-,1.1,11.1,207,1036.4,1033.8,1039.9,1011
2022-02-13 01:00:00,11.6,3.5,16.1,11.5,5.3,69,39,99,387.3,3,7.2,3.8,4.3,0.5,4.3,37.1,-,11.4,58.7,215,1026,1021.1,1034.1,1000.6
2022-02-14 01:00:00,8.3,4.2,11.8,7.9,5,81,61,97,680.5,6,9.6,9.4,7.6,0.7,13.9,46.7,-,6.2,40.4,310,1023.3,1020.1,1029.6,1006
2022-02-15 01:00:00,9.9,6.7,14.2,9.8,4.9,73,50,95,465.4,4,7.8,3.8,10.7,0,17,49.8,-,3,20.1,358,1025.1,1017.9,1031.6,1013.8
2022-02-16 01:00:00,13.1,7.7,17.4,13.1,9.3,78,57,94,463.3,4,0,0,0,0,17,49.8,-,2.8,29.5,300,1019.6,1016.5,1023.6,1012.7
2022-02-17 01:00:00,12.4,6.4,18.9,12.4,9.8,85,65,97,405.5,3,0,0,0,0,17,49.8,-,1.1,11.1,101,1021,1014,1024.3,1013.2
2022-02-18 01:00:00,8.2,4,17.9,8.1,6.7,91,59,99,805.1,7,7.8,6.9,7.1,0.2,24.1,56.9,-,2.8,38.5,127,1015.9,1011.4,1021.6,1008.1
2022-02-19 01:00:00,6.7,2.4,11.6,6.7,5.1,90,61,99,662.3,6,9,7.8,14.7,0,0,64.5,-,1.7,14.8,187,1023.3,1021.1,1025.4,1015.5
2022-02-20 01:00:00,10.7,5.7,14.5,10.7,7.9,83,70,96,510.5,4,1.8,0.3,15,0,0.3,64.8,-,2.8,16.6,313,1025.4,1023.7,1027.1,1017.6
2022-02-21 01:00:00,10.3,5.5,13.9,10.3,8.5,88,74,99,1150,11,3,2.5,2.5,0,2.8,67.3,-,3.4,29.5,341,1027.3,1024.5,1030,1019.5
2022-02-22 01:00:00,8.2,0.6,19.7,8.2,3.8,79,15,99,585.1,5,0,0,2.5,0,2.8,67.3,-,1.4,11.1,157,1022.7,1017.1,1029.6,1019.2
2022-02-23 01:00:00,7.4,-1,19.4,7.4,3.9,81,41,99,528.7,5,1.8,0.3,0.3,0,3.1,67.6,-,1.4,11.1,225,1012.1,1008.5,1017.7,1011.7
2022-02-24 01:00:00,10.1,7.8,12.3,10,7.7,86,69,99,446.3,4,7.2,2,1.5,0,5.1,69.6,-,3.3,20.1,288,1013.4,1009,1017.7,1013
2022-02-25 01:00:00,8.3,4.7,13,8.2,5.4,82,62,99,609.8,5,3,1.3,2.8,0,6.4,70.9,-,2.6,16.6,143,1018,1015.8,1019.5,1017.6
2022-02-26 01:00:00,11.1,0.4,19.8,11,4.2,64,41,93,565.7,5,0,0,2.8,0,0,70.9,-,2.8,21.9,168,1008.8,1004.6,1016,1008.4
2022-02-27 01:00:00,11.9,4.9,17.8,11.9,6.9,73,51,98,575.6,5,0,0,0,0,0,70.9,-,1.9,16.6,126,1010.2,1006.8,1012.8,1009.8
2022-02-28 01:00:00,10,4,19.9,10,7,84,51,99,519.7,5,0,0,0,0,0,70.9,-,1.7,14.8,183,1013.2,1011.8,1015.4,1012.8
2022-03-01 01:00:00,12.2,4.5,19.9,12.2,8,77,48,98,519.2,5,1.8,1.5,1.5,0,1.5,72.4,-,2.1,21.9,151,1010.1,1007.3,1014.7,1009.7
2022-03-02 01:00:00,10.8,6.5,14,10.8,9.3,91,73,99,877.1,8,12.6,7.3,8.8,0,8.8,79.7,-,3,21.9,286,1009.2,1007.3,1010.6,1008.8
2022-03-03 01:00:00,8.5,7.1,10.7,8.3,8,97,92,99,107.5,1,13.8,53.4,62.2,0,62.2,133.1,-,2.9,25.6,283,1005.9,1002.1,1010.1,1005.5
2022-03-04 01:00:00,7.6,3,11.8,7.6,6.3,91,70,99,777,7,12.6,9.6,71.8,0,71.8,142.7,-,2.3,27.7,350,1012.1,1009.7,1013.5,1011.7
2022-03-05 01:00:00,6.2,1.9,11.5,6.2,4.2,88,63,99,761.3,7,7.8,2.8,77.2,2.6,2.6,148.1,-,1.7,13,43,1009.5,1008,1012,1009.1
2022-03-06 01:00:00,6.1,2.2,10.8,6.1,4.8,92,66,99,757.4,7,9,7.9,82.5,0,7.9,153.4,-,1.2,13,289,1007.9,1006.4,1009.2,1007.5
2022-03-07 01:00:00,8.9,5.5,13.3,8.8,6.1,84,64,99,635,6,0,0,82.5,0,7.9,153.4,-,1.7,18.3,204,1002,997.1,1007.7,1001.6
2022-03-08 01:00:00,11.2,3.6,16.2,11.2,4.4,65,49,96,794.2,7,0,0,0,0,7.9,153.4,-,4.7,34.9,240,1002.4,996.7,1007.8,1002
2022-03-09 01:00:00,13.6,3.6,16.8,13.6,5.7,60,47,97,318.3,3,3,1,1.5,0.5,9.4,154.9,-,9.3,36.7,223,1004.1,1001.7,1007.2,1003.7
2022-03-10 01:00:00,13.4,6.9,18.8,13.4,7.7,72,44,99,568.2,5,6,12,13,0,20.9,166.4,-,6.3,66.3,179,1002.8,993.8,1007.7,1002.4
2022-03-11 01:00:00,12.7,7.6,17.8,12.7,8,75,44,98,700.5,6,6.6,5.3,13,0,26.2,171.7,-,4.4,58.7,263,998.3,992.1,1004.4,997.9
2022-03-12 01:00:00,10.6,2.7,16.4,10.6,5,73,38,99,612,5,6,1.3,5.3,1.2,1.2,174.2,-,7,43.9,171,999.4,995.2,1004.2,999
2022-03-13 01:00:00,10.5,5,17.6,10.4,4.1,69,29,99,615.1,5,10.8,17.7,19,0,17.7,190.7,-,2.5,27.7,165,1000.5,997,1002.8,1000.1
2022-03-14 01:00:00,10.2,4.8,15.8,10.2,6.2,77,46,91,398.6,3,6,6.1,19,0,23.8,196.8,-,4.3,29.5,120,1002.9,1001.9,1004.5,1002.5
2022-03-15 01:00:00,14,9.3,20.4,14,11.1,84,55,98,316.2,3,0,0,6.1,0,23.8,196.8,-,1.6,11.1,293,1002.8,1001.1,1004.5,1002.4
2022-03-16 01:00:00,11.4,9.8,12.3,11.4,10.7,96,90,99,35.1,0,6,3.6,3.3,0,27.4,200.4,-,3.2,21.9,313,1009.8,1002.8,1022.2,1008.6
2022-03-17 01:00:00,9.7,8.3,10.9,9.6,7.8,89,73,98,230.2,2,1.2,0.2,0.2,0,27.6,200.6,-,1.8,14.8,310,1024.5,1021.1,1027.1,1018.2
2022-03-18 01:00:00,8.8,5.4,11.2,8.8,7.5,92,78,99,201.2,1,1.8,0.3,0.3,0,27.9,200.9,-,0.9,9.3,279,1022.6,1018,1026.5,1016.2
2022-03-19 01:00:00,11.3,5.1,19.3,11.3,7.5,80,44,99,441.5,4,0,0,0,0,0,200.9,-,1.5,13,140,1018,1014.9,1021.2,1010
2022-03-20 01:00:00,16.9,8.8,22.6,16.9,6.9,52,35,85,546.6,5,0,0,0,0,0,200.9,-,5.7,27.7,184,1018.4,1016.8,1020,1006.7
2022-03-21 01:00:00,16,12.4,18.4,16,7.6,58,52,72,412.9,4,0,0,0,0,0,200.9,-,7.5,43.9,152,1017.8,1016.9,1018.7,1006.1
2022-03-22 01:00:00,14.4,9.6,17.8,14.4,6.3,59,51,83,688,6,0,0,0,0,0,200.9,-,7.8,34.9,137,1017.8,1015.6,1019.2,1006.1
2022-03-23 01:00:00,14,6.1,21.7,14,5.5,59,37,87,596.4,5,0,0,0,0,0,200.9,-,3.3,16.6,133,1019.4,1017.8,1021.5,1007.7
2022-03-24 01:00:00,11.7,2.9,20.3,11.7,6.4,73,42,94,599.5,5,0,0,0,0,0,200.9,-,1.8,16.6,134,1019.7,1017.4,1021.2,1008
2022-03-25 01:00:00,13.7,9.3,20.3,13.7,9.2,77,40,99,522.2,5,1.8,0.3,0.3,0,0.3,201.2,-,1.8,13,145,1018,1016,1019.5,1006.3
2022-03-26 01:00:00,13.5,5.8,21.6,13.5,6.9,66,38,90,562.1,5,0,0,0,0,0,201.2,-,2,14.8,130,1017.3,1015.6,1019.4,1005.6
2022-03-27 01:00:00,14.9,5.4,24.1,14.9,7.9,66,37,95,545.6,5,0,0,0,0,0,201.2,-,1.7,13,158,1019.2,1017.8,1020.3,1007.5
2022-03-28 01:00:00,16,8.6,22.3,16,7.2,58,31,90,470.6,4,0,0,0,0,0,201.2,-,3.3,29.5,152,1016.3,1013.2,1020.1,1004.6
2022-03-29 01:00:00,11.2,6.7,15,11.2,9.4,88,76,97,351.7,3,1.8,0.5,0.5,0.5,0.5,201.7,-,2.7,14.8,333,1010.7,1008.5,1013.7,999
2022-03-30 01:00:00,9.8,7.4,12.5,9.7,8.6,92,76,99,354.8,3,28.8,18.5,23.4,2.3,24.1,225.3,-,2.8,27.7,324,1007.2,1005.4,1008.8,995.5
2022-03-31 01:00:00,8.7,5.1,14.1,8.7,7,89,69,99,774.8,7,15.6,36.1,54.1,0,54.8,0.2,-,3.7,21.9,344,1007.8,1005.2,1014.9,996.1
2022-04-01 01:00:00,4.9,2.1,9.1,4.6,2.8,86,64,98,807.3,7,9,9.4,66.3,2.8,67,12.4,-,2.8,25.6,6,1018.4,1014.7,1021.2,1006.7
2022-04-02 01:00:00,4.9,1.7,10.1,4.7,2.7,87,55,99,827.2,8,12,19.3,89.4,3.5,6.8,35.5,-,2.1,25.6,146,1021.9,1020.5,1024.2,1010.2
2022-04-03 01:00:00,4.3,0.2,10.5,4.2,2.3,89,46,99,910.9,8,9.6,17,99.6,0,17,45.7,-,1.4,14.8,148,1021.4,1019.7,1023.3,1009.7
2022-04-04 01:00:00,4.7,-0.7,9.3,4.6,1.3,81,51,99,526.2,5,0,0,99.6,0,17,45.7,-,1.4,16.6,143,1021.9,1020.7,1023.1,1010.2
2022-04-05 01:00:00,5.8,-1.9,13.8,5.8,2.3,81,52,99,696.2,6,1.2,0.2,0.2,0,17.2,45.9,-,1.9,18.3,136,1018.2,1015.8,1021.5,1006.5
2022-04-06 01:00:00,8.5,0,15.6,8.5,4.6,79,50,99,706.6,6,0,0,0,0,17.2,45.9,-,2.8,20.1,240,1015.5,1014.1,1017.4,1003.8
2022-04-07 01:00:00,13.9,4.6,23.6,13.9,8.1,72,34,99,989.1,9,0,0,0,0,17.2,45.9,-,2.6,29.5,127,1014.4,1012.4,1016,1002.7
2022-04-08 01:00:00,13.1,9.1,18.5,13.1,8.5,77,45,97,692.3,6,4.8,6.9,6.9,0,24.1,52.8,-,6.8,48,288,1013.3,1008.6,1018.9,1001.6
2022-04-09 01:00:00,10.8,5.2,16.5,10.8,8.4,86,60,99,975.1,9,1.8,0.3,7.2,0,0,53.1,-,1.2,14.8,179,1018.5,1015.7,1020.6,1006.8
2022-04-10 01:00:00,16.9,3.9,27.6,16.9,8.5,63,33,99,739.6,7,0,0,0,0,0,53.1,-,4.5,33.2,151,1008.4,1002,1016,996.7
2022-04-11 01:00:00,19.9,13.3,27.2,19.9,8.7,51,25,91,825.9,8,3,0.5,0.5,0,0.5,53.6,-,5.8,42.2,144,1001.3,997.3,1003.3,989.6
2022-04-12 01:00:00,16.8,9.7,23.3,16.8,7.6,57,34,93,742.2,7,7.2,1.5,1.5,0,2,55.1,-,7.2,43.9,214,1005.6,1001.9,1010.7,993.9
2022-04-13 01:00:00,11.7,6.1,18.6,11.7,9,85,60,99,902.2,8,0,0,1.5,0,2,55.1,-,2.1,20.1,36,1016.1,1010.3,1021.1,1004.4
2022-04-14 01:00:00,12.7,6.8,19.8,12.7,10.5,88,64,99,871.5,8,0,0,0,0,2,55.1,-,1.2,11.1,153,1020.5,1019.3,1023,1008.8
2022-04-15 01:00:00,13.6,7.9,20.5,13.6,11.9,90,70,99,800,7,0,0,0,0,2,55.1,-,2.1,13,265,1023.6,1021.8,1025.1,1011.9
2022-04-16 01:00:00,13.8,6,23.3,13.8,10.4,83,41,99,737.4,7,0,0,0,0,0,55.1,-,2,16.6,184,1023.2,1021.8,1024.6,1011.5
2022-04-17 01:00:00,11.7,4.4,18.1,11.7,8.9,84,57,99,806,7,0,0,0,0,0,55.1,-,2.7,20.1,307,1021.3,1020.2,1022.5,1009.6
2022-04-18 01:00:00,11.6,7.2,14.5,11.6,10.3,92,77,99,284.1,2,10.8,3.3,4.9,1.1,5.1,60.2,-,0.7,7.2,318,1018.9,1017.1,1022.1,1007.2
2022-04-19 01:00:00,9,6.7,11.4,9,8.3,95,75,99,493.6,4,29.4,45.9,48.8,0,49,104.1,-,1.8,18.3,308,1016.6,1014.1,1018.5,1004.9
2022-04-20 01:00:00,8.7,5.9,12.7,8.6,7.2,91,66,99,907.9,8,29.4,31.5,81.8,1.2,82,137.1,-,3.6,25.6,349,1013.6,1012.3,1014.5,1001.9
2022-04-21 01:00:00,10.2,6.9,16.4,10.2,8.3,89,68,99,773.9,7,3.6,7.1,86.1,0,86.3,141.4,-,2.1,13,334,1008,1000.5,1013.6,996.3
2022-04-22 01:00:00,12.1,6.2,16.7,12.1,7.1,74,50,99,225.1,2,0,0,86.1,0,86.3,141.4,-,2.3,25.6,127,995.8,992.4,1000.8,984.1
2022-04-23 01:00:00,10,8.5,12.4,9.7,7.4,85,60,95,296.2,2,9.6,32.8,34.1,0.3,1.3,175.5,-,5.4,33.2,295,997.3,991,1006.6,985.6
2022-04-24 01:00:00,13.1,9.8,17.3,13.1,9.1,78,58,96,949.1,9,1.8,1.8,34.6,0,1.8,176,-,2.5,14.8,344,1011,1006.4,1014.1,999.3
2022-04-25 01:00:00,12.7,5.9,19.9,12.7,9.9,85,62,99,816.4,7,0,0,0,0,1.8,176,-,1.6,16.6,136,1011.9,1010.4,1013.9,1000.2
2022-04-26 01:00:00,14,6.6,22.8,14,11.3,85,55,99,775.6,7,9.6,5.8,5.8,0,7.6,181.8,-,2,18.3,185,1011.3,1009.4,1014.2,999.6
2022-04-27 01:00:00,13.5,10.9,17,13.5,12.1,92,72,99,724,7,3,0.8,6.6,0,8.4,182.6,-,1.3,13,312,1016.2,1013,1020.3,1004.5
2022-04-28 01:00:00,12.7,8.2,16.5,12.7,11.2,91,71,99,476.2,4,1.8,1.3,1.3,0,9.7,183.9,-,0.9,11.1,342,1023.7,1019.8,1027,1012
2022-04-29 01:00:00,12.4,6.5,18.2,12.4,10.8,91,75,99,722.6,7,1.2,0.2,1.3,0,9.9,184.1,-,1.2,13,268,1026.1,1024.8,1027.4,1014.4
2022-04-30 01:00:00,14.3,11.3,19,14.3,12.3,88,73,98,719.6,7,0,0,0,0,0,0,-,1.6,13,285,1023.7,1021.8,1026.1,1012
2022-05-01 01:00:00,12.9,8.4,18.3,12.9,11.1,90,72,99,878.9,8,0,0,0,0,0,0,-,1.2,11.1,313,1020.6,1018.3,1022.3,1008.9
2022-05-02 01:00:00,12.7,11,15.9,12.7,10.8,89,70,99,789.4,7,4.8,3.6,4.3,0.7,4.3,4.3,-,1.4,14.8,302,1016.5,1015.3,1018.5,1004.8
2022-05-03 01:00:00,13,9,16.9,13,11.5,91,75,99,824.2,8,1.8,1,4.3,0,4.6,4.6,-,2.3,18.3,303,1018,1016,1020.8,1006.3
2022-05-04 01:00:00,11.9,7.4,16.8,11.9,10.2,90,71,99,771.2,7,0,0,0,0,4.6,4.6,-,1.3,13,340,1021.5,1019.3,1024.3,1009.8
2022-05-05 01:00:00,12.6,6.6,20.1,12.6,9.3,83,51,99,872.4,8,0,0,0,0,4.6,4.6,-,1.5,13,109,1025.1,1023.1,1027.4,1013.4
2022-05-06 01:00:00,12.2,6.2,18.8,12.2,9.7,86,62,99,940.9,9,0,0,0,0,4.6,4.6,-,1.6,13,184,1026.6,1025.6,1027.3,1014.9
2022-05-07 01:00:00,14.1,5.4,22.9,14.1,10.1,80,49,99,1243.7,12,0,0,0,0,0,4.6,-,1.7,14.8,130,1023.6,1021.6,1026.9,1011.9
2022-05-08 01:00:00,14.3,6.8,23,14.3,10.8,82,55,99,813.3,7,0,0,0,0,0,4.6,-,1.3,14.8,151,1021.6,1020.3,1022.8,1009.9
2022-05-09 01:00:00,16.5,6.8,26.3,16.5,11.9,78,47,99,808.1,7,0,0,0,0,0,4.6,-,1.2,11.1,157,1020.2,1018.6,1022.3,1008.5
2022-05-10 01:00:00,14.4,8,21.5,14.4,12.1,87,69,99,853.3,8,0,0,0,0,0,4.6,-,2.1,16.6,348,1019.6,1017.4,1021.9,1007.9
2022-05-11 01:00:00,14.5,11.1,18.6,14.5,12.8,90,75,99,937.8,9,0,0,0,0,0,4.6,-,2.1,16.6,328,1018.6,1016.2,1021.7,1006.9
2022-05-12 01:00:00,14.1,11.4,15.9,14.1,13.2,94,83,99,214.7,2,1.8,1.5,0.8,0,1.5,6.1,-,0.7,9.3,286,1020.5,1018.4,1022.9,1008.8
2022-05-13 01:00:00,15.6,13.5,18.1,15.6,14.6,94,83,99,293.6,2,3,1,1,0,2.5,7.1,-,0.5,11.1,251,1021,1019.3,1022.6,1009.3
2022-05-14 01:00:00,17.2,13.4,25.5,17.2,15.8,92,74,99,858.4,8,3,0.5,1.5,0,0,7.6,-,1.4,14.8,218,1014.8,1010.2,1019.6,1003.1
2022-05-15 01:00:00,19.7,13.1,27.2,19.7,14.1,73,38,97,855.9,8,0,0,0,0,0,7.6,-,3.3,34.9,175,1011.4,1008.2,1015.4,999.7
2022-05-16 01:00:00,22.7,15.4,28.9,22.7,12.6,55,37,85,844.6,8,0,0,0,0,0,7.6,-,4.1,23.8,199,1015.2,1013.1,1016.8,1003.6
2022-05-17 01:00:00,21.5,12.1,31.2,21.5,14.1,67,35,95,826.4,8,0,0,0,0,0,7.6,-,2.9,25.6,207,1017.1,1014.7,1022,1005.4
2022-05-18 01:00:00,18.9,13.5,31.5,18.9,14.8,79,35,96,901,8,0,0,0,0,0,7.6,-,2.6,27.7,294,1017.1,1013,1020.6,1005.4
2022-05-19 01:00:00,16.8,9.7,22.6,16.8,14.1,85,64,97,812.4,7,0,0,0,0,0,7.6,-,1.4,11.1,211,1018,1016.2,1020.2,1006.3
2022-05-20 01:00:00,17,15.4,20,17,15,89,79,95,346.6,3,0,0,0,0,0,7.6,-,1.3,11.1,272,1021.4,1016.7,1023.9,1009.7
2022-05-21 01:00:00,18.2,14.9,23.9,18.2,16.2,88,73,96,797.8,7,3,0.5,0.5,0.5,0.5,8.1,-,1.8,14.8,296,1016.7,1013,1021.6,1005
2022-05-22 01:00:00,18.9,14.3,28.8,18.9,16,85,42,99,903.1,8,9,1.7,2,1.7,2.8,10.4,-,4.1,27.7,309,1010.5,1007,1016.8,998.8
2022-05-23 01:00:00,14.9,13.3,18.2,14.9,11.7,81,60,97,527,5,4.8,3.5,4.1,0.3,4.9,12.5,-,3,18.3,301,1013.1,1011.4,1015.6,1001.4
2022-05-24 01:00:00,12.5,8.3,15.5,12.5,10.1,86,68,99,749.5,7,10.8,5.8,10.2,0.6,11,18.6,-,3,25.6,328,1015.7,1013.4,1019.4,1004
