Time,Outdoor,,,,,,,,Solar and UVI,,Rainfall,,,,,,,Wind,,,Pressure,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2022-01-01 01:00:00,22,13.6,24.4,22,4.8,33,25,59,291.9,2,0,0,0,0,0,0,-,8.6,34.9,205,1027.7,1026.5,1029.2,1010.5
2022-01-02 01:00:00,15.6,10,22.2,15.6,8.6,67,28,89,261.6,2,0,0,0,0,0,0,-,3,33.2,133,1030.8,1026.5,1033.6,1013.6
2022-01-03 01:00:00,13.9,6.1,20.9,13.9,6.9,68,41,96,261.9,2,0,0,0,0,0,0,-,6.1,33.2,180,1025.6,1019.9,1031.2,1008.4
2022-01-04 01:00:00,9.1,7,14.5,8.7,8.1,94,80,98,150,1,22.8,53.3,53.6,0.3,53.6,53.6,-,5.2,21.9,314,1026.5,1020.6,1031.8,1001.1
2022-01-05 01:00:00,6.5,2.1,10,6.4,4.6,88,67,99,364.3,3,1.8,1.6,54.9,0,54.9,54.9,-,1.3,23.8,166,1032.2,1029.4,1034.8,1006.8
2022-01-06 01:00:00,5.7,0.5,11.5,5.7,3.3,86,51,99,823.3,8,7.8,2.8,54.9,2.8,58.4,58.4,-,1.1,14.8,169,1035.9,1034.4,1037.4,1010.5
2022-01-07 01:00:00,9.3,8,10.5,9,7.5,89,71,99,665.9,6,10.8,26.4,26.9,0,82,82,-,3.8,16.6,314,1042,1036.7,1044.4,1016.6
2022-01-08 01:00:00,11.4,7.7,14.1,11.4,4.6,63,49,92,263.8,2,4.8,1.5,26.9,1.5,1.5,83.8,-,4.5,27.7,302,1038.3,1032.8,1043.6,1012.9
2022-01-09 01:00:00,12.3,10.6,14,12.3,11.6,96,87,99,108.9,1,28.8,67.1,71.7,4.3,71.4,153.7,-,9.5,42.2,318,1032.6,1030.4,1034.1,1007.2
2022-01-10 01:00:00,12.2,11.2,13.1,12.2,11.8,97,92,99,95.8,0,7.8,16.7,84.6,0.5,84.3,166.6,-,8,36.7,317,1037.6,1033.7,1040.9,1012.2
