Time,Outdoor,,,,,,,,,Solar and UVI,,Rainfall,,,,,,,,Wind Speed(km/h),,,,Pressure,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),VPD(kPa),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),24 Hours(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),10-minute Average Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2025-12-10 01:00:00,11.8,8.6,16,11.8,10.8,94,64,99,84,139.2,1,27.6,14.2,11.9,0,,14.2,91.6,1598.8,0.3,9.3,148,,1021.7,1019.6,1025.3,1010.3
2025-12-11 01:00:00,14,6.9,18.6,14,8.7,72,54,99,511,299.2,2,0,0,0,0,,14.2,91.6,1598.8,5.7,36.7,183,,1019.3,1015.5,1022,1005.9
2025-12-12 01:00:00,13.2,9,15.9,13.2,10.2,83,61,99,283,141.8,1,0,0,0,0,,14.2,91.6,1598.8,3,34.9,164,,1021.3,1019.6,1024.1,1005.9
2025-12-13 01:00:00,9.6,4.9,15.5,9.6,8.5,93,76,99,99,258.5,2,0,0,0,0,,0,91.6,1598.8,0.8,9.3,164,,1021.3,1018.8,1023.1,1013.7
2025-12-14 01:00:00,7.8,3,17.6,7.8,6.3,91,66,99,127,281.5,2,1.8,0.3,0.3,0,,0.3,91.9,1599.1,1.4,11.1,162,,1019.7,1016.1,1021.4,1007.7
2025-12-15 01:00:00,14.6,7.1,17.4,14.6,8,65,58,89,598,298.9,2,0,0,0,0,,0.3,91.9,1599.1,7.9,49.7,191,,1019,1014.1,1021.1,995.8
2025-12-16 01:00:00,11.3,9.1,14.4,11.3,9.2,88,61,99,175,97.1,0,9.6,8.4,6.1,0,,8.7,100.3,1607.5,1.7,36.7,162,,1021.9,1019.9,1025.1,999.2
2025-12-17 01:00:00,10.9,5.2,17,10.9,8.3,86,50,99,234,322.2,3,1.8,0.3,0.3,0,,9,100.6,1607.8,1.8,23.8,164,,1020.9,1017.1,1023.5,1008.7
2025-12-18 01:00:00,16.7,12.9,18.2,16.7,7.6,55,48,89,856,319.7,3,0,0,0,0,,9,100.6,1607.8,14.4,62.3,215,,1020.4,1016.8,1024.3,1003
2025-12-19 01:00:00,9.8,8.2,13.2,9.8,9.5,98,89,99,27,82,0,10.8,20.8,11.9,0,,29.8,121.4,1628.6,0.6,13,285,,1021.4,1018.9,1023.6,1008.5
2025-12-20 01:00:00,11,5.8,14.5,11,6.4,76,51,99,377,268.9,2,0,0,0,0,,0,121.4,1628.6,6,48,186,,1018.9,1014.3,1021.7,998.3
2025-12-21 01:00:00,7.5,2.7,13,7.1,3.7,78,56,98,255,229,2,13.8,13.4,8.1,0,,13.4,134.8,1642,4.7,40.4,235,,1020,1016.5,1022.9,990.7
2025-12-22 01:00:00,8.3,5.2,11.3,8.2,4.2,76,58,95,272,239.4,2,4.8,2.6,0.8,0,,16,137.4,1644.6,3.1,25.6,175,,1021.2,1019.9,1023.5,994.4
2025-12-23 01:00:00,7.3,2.4,12.6,7.3,6.1,92,72,99,89,367,3,9.6,14.3,6.9,0,,30.3,151.7,1658.9,1.1,16.6,157,,1021,1019.8,1022.2,998.1
2025-12-24 01:00:00,7.5,4.8,9,7.5,7.3,99,99,99,0.01,55.9,0,3,9,2.5,0,,39.3,160.7,1667.9,0.1,7.2,254,,1021.2,1019.9,1022.4,1002.3
2025-12-25 01:00:00,4.2,-0.5,9.1,4.2,2.9,92,60,99,75,349.6,3,3,1.3,0.8,0,,40.6,162,1669.2,0.9,11.1,155,,1020.5,1018.6,1021.8,1002.1
2025-12-26 01:00:00,4.9,0,10,4.9,3.8,93,67,99,74,246.8,2,3,2.3,2.3,0,,42.9,164.3,1671.5,0.6,5.5,153,,1020.8,1019.5,1022.5,1003.5
2025-12-27 01:00:00,7.7,2,16.1,7.7,6.4,92,66,99,113,275.4,2,1.8,0.3,0.3,0,,0,164.6,1671.8,1.7,16.6,131,,1020.9,1018.1,1022.4,1005.8
2025-12-28 01:00:00,9.9,4.2,17.1,9.9,6.9,83,58,99,247,285.4,2,0,0,0,0,,0,164.6,1671.8,2.5,20.1,147,,1020.7,1018.3,1022.5,1006.1
2025-12-29 01:00:00,7.2,2.9,15.4,7.2,5.7,91,67,99,123,269.4,2,0,0,0,0,,0,164.6,1671.8,1.4,13,157,,1021,1019,1022.4,1008
2025-12-30 01:00:00,7.7,3.3,9.8,7.7,7.5,98,96,99,16,104.1,1,1.8,0.6,0.3,0.3,,0.9,165.5,1672.7,0.1,5.5,323,,1021,1019.2,1022.5,1010.7
2025-12-31 01:00:00,6.8,0.8,11.4,6.8,5.7,93,74,99,78,284.6,2,0,0.3,0.3,0,,0.9,0,1672.7,0.6,9.3,194,,1020.3,1018.3,1021.4,1009.8
