Time,Exterior,,,,,,,,Interior,,,,,,Radición solar y UVI,,Precipitaciones,,,,,,,Viento,,,Presión,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),Temperature(℃),Temperature Low(℃),Temperature High(℃),Humidity(%),Humidity Low(%),Humidity High(%),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2024-11-23 01:00,"19,0","13,4","22,9","19,0","9,1",53,39,65,"16,0","14,3","23,3",63,49,68,"244,7",2,"0,0","0,0","0,0","0,0","0,0","115,2","463,0","13,8","64,4",211,"1019,2","1015,4","1021,9","1002,2"
2024-11-24 01:00,"20,5","12,4","25,2","20,5","9,6",52,32,83,"16,6","15,7","20,1",64,57,66,"199,0",1,"0,0","0,0","0,0","0,0","0,0","115,2","463,0","6,8","38,5",155,"1019,2","1015,9","1021,9","997,3"
2024-11-25 01:00,"12,3","5,9","24,2","12,3","9,6",86,39,99,"17,1","16,1","22,1",65,56,67,"310,1",3,"22,8","30,8","30,2","0,0","30,8","146,0","493,8","2,8","43,9",201,"1025,6","1019,7","1032,9","1001,6"
2024-11-26 01:00,"8,7","5,4","15,6","8,7","7,2",92,67,99,"15,9","15,0","17,2",66,63,67,"134,4",1,"0,0","0,0","0,0","0,0","30,8","146,0","493,8","0,2","5,5",162,"1021,5","1020,5","1022,8","1009,6"
2024-11-27 01:00,"10,5","5,4","21,6","10,5","8,4",89,52,99,"16,5","14,5","25,6",63,46,67,"240,8",2,"1,8","0,3","0,3","0,0","31,1","146,3","494,1","0,6","7,2",166,"1020,9","1019,3","1022,3","1009,8"
2024-11-28 01:00,"13,5","5,9","23,8","13,5","8,4",76,28,99,"16,8","14,6","25,9",62,46,67,"236,8",2,"1,8","0,3","0,3","0,0","31,4","146,6","494,4","2,0","34,9",174,"1020,1","1016,7","1021,6","1009,4"
2024-11-29 01:00,"18,7","9,0","24,7","18,7","10,0",62,34,99,"17,5","15,9","24,9",61,48,65,"238,1",2,"0,0","0,0","0,0","0,0","31,4","146,6","494,4","5,4","40,4",191,"1022,0","1019,7","1025,1","1010,1"
2024-11-30 01:00,"15,4","7,5","24,6","15,4","11,0",78,52,99,"17,7","15,9","23,9",63,52,68,"290,5",2,"0,0","0,0","0,0","0,0","0,0","0,0","494,4","2,4","27,7",150,"1020,2","1016,3","1021,7","1011,6"
2024-12-01 01:00,"17,6","11,4","21,2","17,6","12,1",73,46,99,"17,6","16,9","19,3",65,61,67,"239,4",2,"1,8","0,3","0,3","0,3","0,3","0,3","494,7","3,9","40,4",177,"1020,8","1019,4","1022,9","1009,8"
2024-12-02 01:00,"11,9","10,4","14,9","11,9","11,7",98,88,99,"16,8","16,3","17,6",67,66,68,"178,6",1,"7,8","12,5","7,4","0,3","12,8","12,8","507,2","0,5","14,8",181,"1021,6","1020,1","1023,1","1012,3"
2024-12-03 01:00,"10,5","9,0","13,2","10,5","10,0",97,83,99,"16,2","15,7","17,1",68,66,68,"214,7",2,"7,8","14,8","14,0","3,6","30,9","30,9","525,3","0,2","7,2",177,"1019,9","1016,7","1021,2","1010,8"
2024-12-04 01:00,"10,1","7,7","15,2","10,1","9,1",94,74,99,"16,6","15,3","23,2",65,52,69,"250,7",2,"3,6","4,8","4,8","0,0","32,1","32,1","526,5","0,8","11,1",147,"1023,7","1018,5","1028,9","1015,2"
2024-12-05 01:00,"12,6","7,7","18,5","12,6","11,6",94,76,99,"15,7","15,0","18,1",67,61,68,"345,7",3,"6,0","5,3","5,3","0,3","37,7","37,7","532,1","0,9","11,1",132,"1020,5","1018,6","1022,1","1014,9"
2024-12-06 01:00,"14,8","12,9","18,0","14,8","14,3",97,86,99,"15,5","15,2","17,0",68,65,69,"118,8",1,"6,0","15,8","14,5","0,0","53,2","53,2","547,6","1,0","11,1",356,"1021,7","1019,3","1023,9","1015,4"
2024-12-07 01:00,"10,6","7,6","14,6","10,0","8,8",89,71,99,"15,1","14,3","16,0",68,67,70,"170,9",1,"18,6","29,2","19,5","1,3","1,3","83,7","578,1","9,4","43,9",316,"1020,5","1015,9","1022,9","1013,8"
2024-12-08 01:00,"8,1","6,0","10,6","7,2","6,0",87,66,99,"13,9","13,3","14,6",68,66,68,"150,5",1,"49,8","44,7","23,4","3,8","48,5","130,9","625,3","7,8","43,9",322,"1019,9","1018,7","1021,3","1013,7"
2024-12-09 01:00,"7,3","5,8","9,5","7,2","6,8",97,77,99,"13,1","12,7","13,9",68,66,69,"167,4",1,"18,0","35,5","28,4","0,0","80,2","162,6","657,0","1,2","25,6",40,"1020,1","1017,7","1022,5","1010,2"
2024-12-10 01:00,"6,4","5,1","7,9","6,4","6,2",99,94,99,"13,1","12,5","14,7",67,63,68,"130,9",1,"6,0","10,4","5,6","0,5","91,1","173,5","667,9","0,1","5,5",160,"1020,5","1018,8","1022,2","1009,7"
2024-12-11 01:00,"5,9","4,8","8,1","5,9","5,3",96,85,99,"12,6","11,9","13,8",66,63,67,"128,0",1,"3,0","2,3","1,8","0,0","92,9","175,3","669,7","0,3","7,2",160,"1020,3","1018,3","1022,4","1008,3"
2024-12-12 01:00,"6,7","1,4","15,1","6,7","5,1",91,58,99,"13,7","11,5","21,3",62,47,67,"248,1",2,"0,0","0,0","0,0","0,0","92,9","175,3","669,7","0,7","9,3",166,"1021,1","1019,8","1022,4","1008,7"
2024-12-13 01:00,"5,7","1,9","15,4","5,7","4,4",92,53,99,"13,3","11,5","20,4",62,48,66,"213,8",2,"0,0","0,0","0,0","0,0","92,9","175,3","669,7","0,6","5,5",164,"1022,0","1019,7","1026,6","1009,8"
2024-12-14 01:00,"7,6","1,9","12,4","7,6","6,9",95,76,99,"12,3","11,6","16,3",64,56,65,"284,9",2,"9,6","18,2","12,4","0,0","0,0","193,5","687,9","1,4","18,3",22,"1023,4","1020,6","1026,4","1019,2"
2024-12-15 01:00,"8,5","4,1","13,9","8,5","7,8",96,79,99,"12,4","11,5","17,8",64,54,66,"312,7",3,"7,8","10,2","10,2","0,0","10,2","203,7","698,1","0,8","13,0",155,"1022,2","1019,7","1024,6","1026,1"
2024-12-16 01:00,"6,6","1,2","17,0","6,6","5,2",92,66,99,"13,1","10,8","20,7",62,46,67,"283,2",2,"1,8","0,3","0,3","0,0","10,5","204,0","698,4","1,3","9,3",156,"1018,1","1012,4","1022,1","1021,0"
2024-12-17 01:00,"12,7","3,1","21,8","12,7","5,9",69,32,99,"12,8","11,2","17,9",62,52,65,"248,5",2,"0,0","0,0","0,0","0,0","10,5","204,0","698,4","4,7","48,0",171,"1018,5","1013,8","1021,3","1014,5"
2024-12-18 01:00,"18,7","13,0","20,4","18,7","10,0",58,38,79,"14,7","13,1","19,9",60,51,63,"258,5",2,"0,0","0,0","0,0","0,0","10,5","204,0","698,4","11,9","56,8",204,"1019,6","1016,7","1021,1","1009,7"
2024-12-19 01:00,"11,1","6,2","18,8","11,0","9,0",88,47,99,"14,3","13,6","15,8",64,62,66,"158,3",1,"13,8","26,2","19,6","0,0","36,7","230,2","724,6","5,1","42,2",299,"1023,1","1016,3","1029,3","1011,6"
2024-12-20 01:00,"8,2","5,7","10,3","8,2","7,6",96,81,99,"13,6","13,1","15,0",65,63,67,"284,9",2,"10,8","10,2","5,6","0,0","46,9","240,4","734,8","1,2","13,0",322,"1021,5","1020,3","1023,1","1020,4"
2024-12-21 01:00,"12,0","7,4","14,8","12,0","8,5",80,64,95,"13,9","12,8","17,8",64,56,67,"301,4",2,"0,0","0,0","0,0","0,0","0,0","240,4","734,8","3,7","23,8",305,"1021,0","1019,3","1022,4","1019,9"
2024-12-22 01:00,"12,1","9,3","14,5","11,9","9,8",86,77,97,"13,8","13,3","14,9",65,63,67,"155,7",1,"18,0","18,6","18,3","0,8","19,4","259,8","754,2","7,7","43,9",305,"1020,3","1015,3","1024,5","1018,1"
2024-12-23 01:00,"9,4","6,4","11,6","9,4","7,3",87,73,99,"13,6","12,9","15,6",66,62,67,"257,1",2,"4,8","4,3","3,0","1,5","24,4","264,8","759,2","3,1","20,1",317,"1022,1","1020,5","1024,1","1021,2"
2024-12-24 01:00,"9,9","7,5","11,7","9,9","9,1",95,84,99,"13,1","12,7","13,7",66,65,67,"72,4",0,"3,0","2,6","2,3","0,0","25,5","265,9","760,3","1,8","18,3",22,"1020,2","1018,4","1021,7","1020,9"
2024-12-25 01:00,"9,6","5,1","16,8","9,6","8,8",95,77,99,"14,7","12,6","23,2",63,46,67,"256,8",2,"1,8","0,3","0,3","0,0","25,8","266,2","760,6","0,7","13,0",168,"1020,0","1016,6","1021,6","1018,1"
2024-12-26 01:00,"8,0","4,8","10,2","8,0","7,7",98,94,99,"13,2","12,8","14,3",66,64,67,"107,0",1,"0,0","0,0","0,0","0,0","25,8","266,2","760,6","0,4","5,5",171,"1021,1","1020,1","1022,1","1016,5"
2024-12-27 01:00,"8,4","3,2","16,7","8,4","7,3",93,70,99,"14,8","12,5","23,9",62,45,67,"253,2",2,"0,0","0,0","0,0","0,0","25,8","266,2","760,6","1,1","7,2",169,"1021,3","1018,7","1023,5","1016,1"
2024-12-28 01:00,"7,8","2,0","14,2","7,8","6,8",94,74,99,"14,1","12,2","20,4",63,51,66,"278,4",2,"1,8","0,3","0,3","0,0","0,0","266,5","760,9","0,7","9,3",166,"1021,5","1020,1","1023,3","1017,4"
2024-12-29 01:00,"6,7","1,8","16,3","6,7","5,4",92,64,99,"14,7","12,3","24,0",61,43,66,"252,4",2,"1,8","0,3","0,3","0,0","0,3","266,8","761,2","0,9","9,3",180,"1020,8","1018,1","1022,5","1017,5"
2024-12-30 01:00,"4,7","0,4","13,6","4,7","3,5",93,69,99,"14,3","11,8","23,7",60,43,65,"249,4",2,"1,8","0,3","0,3","0,0","0,6","267,1","761,5","0,8","9,3",180,"1021,1","1019,1","1024,0","1017,0"
2024-12-31 01:00,"4,5","0,1","13,3","4,5","3,2",92,65,99,"14,0","11,5","23,6",59,42,65,"246,4",2,"1,8","0,3","0,3","0,0","0,9","0,0","761,8","0,8","7,2",177,"1020,9","1019,2","1022,3","1017,9"
